Block Lot	Planning Neighborhood	Best Stat	Best Date	Units	Planning Project Description	DBI Project Description	Zoning_Generalized	Zoning_Simplified	TAZ	Total GSF (Commercial)	Office	Cult, Inst, Educ	Medical	Prod, Dist, Rep	Ret, Ent	Visitor	Planning ID	DBI Permit	Planning Filed	DBI Filed	HEIGHTLIMIT	ZONING	FirstFiled	LANDUSE	EntitlementStatus	Net Added Units	Net Added SF	Net Cult, Inst, Educ	Net Medical	Net Office	Net Prod, Dist, Rep	Net Ret, Ent	Net Visitor	Location 1
0506036	Marina	PL Filed	31-Jan-12	14	Group housing for post-secondary educational institution (Academy of Art University).   Subject property contains 52 guest rooms and is currently a tourist motel.  Property features split-zoning, with front portion zoned NC-3 (group housing is principally		Residential	RH-2	380	0						0	2012.0095		31-Jan-12		40-X	RH-2/NC-3	31-Jan-12	Resident	0	14	-16000						-16000	"1727 Lombard St
(37.800207, -122.43021)"
0570011	Marina	BP ISSUED	10-Dec-12	34		ERECT 7 STORIES, 2 BASEMENTS 34 DWELLING UNITS, TYPE 1-B BUILDING ON A VACANT LOT.	Residential	RM-3	353	0								201203055396		05-Mar-12	80-A	RM-3	05-Mar-12	Resident	-1	34	0							"1650 Broadway *
(37.795630600000003, -122.4243919)"
0814020	Market Octavia	BP ISSUED	31-Dec-12	399	100 Van Ness is an existing 29 story office building that is currently 96% vacant.  The proposal is to change the use from office to multi-family residential, renovate the interior of the building to create 399 multi-family residential units, and re-skin 	CONVERT (E) OFFICE BUILDING INT 399 RESIDENTIAL APARTMENTS GROUND FLOOR RETAIL AND ROOF DECK. MAINTA	Commercial	C-3-G	647	1820	0				1820		2012.0032	201208026344	30-Mar-12	02-Aug-12	200-R2	C-3-G	30-Mar-12	Mixres	-1	399	-423740			-421005		-2735		"100 Van Ness Av
(37.776427900000002, -122.4194191)"
3974020	Showpl/Potrero	PL Filed	09-Feb-12	5	Demo existing garage & construct a new residential duplex unit over basement level with 1 car-garage. Install sprinklers in building located in the rear of the lot.		Mixed Use	UMU	209	0							2012.0131		09-Feb-12		58-X	UMU	09-Feb-12	Resident	0	2	0							"455 Potrero Av
(37.763812899999998, -122.40720330000001)"
3980007	Showpl/Potrero	CONSTRUCTION	20-Nov-12	20		ERECT 4-STORY TYPE V BUILDING. RESIDENTIAL, RETAIL, PARKING.	Mixed Use	UMU	544	0								201202154236		15-Feb-12	48-X	UMU	15-Feb-12	Resident	-1	20	4840				4840			"1717 17th St
(37.764748500000003, -122.40073889999999)"
1432037	Richmond	PL Filed	24-Apr-12	3	Section 317, demolish of a single family home		Residential	RM-1	236	0							2012.0539		24-Apr-12		40-X	RM-1	24-Apr-12	Resident	0	2	0							"230 02nd Av
(37.784401000000003, -122.459897)"
1564013	Richmond	PL Filed	10-Apr-12	2	Add an vertical addition, convert existing attic to new 3rd story		Residential	RH-2	275	0							2012.0482		10-Apr-12		40-X	RH-2	10-Apr-12	Resident	0	1	0							"571 21st Av
(37.777102900000003, -122.480546)"
2393040	Outer Sunset	BP Filed	20-Jun-12	16		TO ERECT 5 STORIES, 16 UNITS, MIXED USE BUILDING.	Mixed Use	NC-2	374	0								201206203038		20-Jun-12	50-X	NC-2	20-Jun-12	Resident	0	16	-1971				-1971			"2255 Taraval St
(37.742153000000002, -122.490455)"
3116007	Ingleside, Other	BP Filed	13-Apr-12	1		ERECT 2 STORY SINGLE FAMILY DWELLING.	Residential	RH-1	453	0								201204138248		13-Apr-12	40-X	RH-1	13-Apr-12	Resident	0	1	0							"412 Hearst Av
(37.730702999999998, -122.4470298)"
3516005	WSoMa	BP Filed	11-Jun-12	16	Rear yard variance for new one-story vertical addition on existing three-story residence. 	REPAIR FIRE,SMOKE&WTR DAMAGE THROUGHOUT(NEW FINISHES,CASEWORK). EXCAVATE BSMT FOR 2 NEW APTS&SERVICE	Industrial	SLR	607	0							2012.0821	201206112314	28-Jun-12	11-Jun-12	50-X	SLR	11-Jun-12	Resident	0	5	0							"230 11th St
(37.772531999999998, -122.41529199999999)"
3641076	Mission	PL Filed	12-Jul-12	2	Construct new 3 stroy + garage/bassement, 2 unit residential building	TO ERECT 4 STORIES, 2 UNITS DUPLEX BUILDING.	Residential	RH-2	633	0							2012.0885	201206112282	12-Jul-12	11-Jun-12	40-X	RH-2	11-Jun-12	Resident	0	2	0							"930 Shotwell St
(37.753054900000002, -122.415341)"
3784015	WSoMa	PL Filed	26-Apr-12		Demolish existing structure adn construct new 5,500sf or retail space.\		Industrial	SLI	616	6500					6500		2012.0559		26-Apr-12		50-X	SLI	26-Apr-12	Retail/Ent	0		4666					4666		"603 7th Street
(37.773029000000001, -122.40284800000001)"
3949001	Showpl/Potrero	PL Filed	04-Apr-12	200	The proposed project will demolish metal warehouses and temporary office buildings; preserve and rehabilitate brick office building; lot line adjustment to create two lots, construct approximately 200 residential units in 4-story building on 17th Street; 		Mixed Use	UMU	754	175513	148613			0	26900		2011.13		04-Apr-12		68-X	UMU	04-Apr-12	Mixres	0	200	66013			144113	-105000	26900		"901 16th Street/1200 17th Street
(37.765577999999998, -122.395421)"
4095018	Showpl/Potrero	BP Filed	24-Apr-12	2		ERECT 4 STORIES, TYPE 5, 2 DWELLING UNITS BUILDING.	Residential	RH-2	644	0								201204249018		24-Apr-12	40-X	RH-2	24-Apr-12	Resident	0	2	0							"896 De Haro St
(37.758353, -122.401259)"
4172006	Central Waterfront	PL Approved	26-Oct-12	1	Variance request to section 134 		Mixed Use	NCT-2	741	0				0			2012.082		28-Jun-12		45-X	NCT-2	28-Jun-12	Resident	-1	1	-2051				-2051			"2538 03rd St
(37.757392799999998, -122.3884388)"
5426031	Other S Bayshore	PL Filed	19-Apr-12	3	Demo existing single family home and replace with three new single family homes.		Residential	RH-1	668	0							2012.0516		19-Apr-12		40-X	RH-1	19-Apr-12	Resident	0	2	0							"2075 Bancroft Av
(37.730424900000003, -122.40184600000001)"
6527019	Mission	BP Filed	06-Jul-12	2	Variance to the Rear Yard Requirement (134), Exposure (140), Exposure of the open space (135) and required mimimum dwelling unit mix (207.6).	TO ERECT 2-STORY, TYPE V, 2 UNITS RESIDENTIAL BUILDING.	Residential	RTO	638	0							2012.0669	201207064206	24-May-12	06-Jul-12	40-X	RTO-Mission	24-May-12	Resident	0	2	0							"1069 Capp St
(37.749570300000002, -122.4170629)"
6593022	Central	PL Filed	28-Jun-12	2	Variance request to the rear yard requirement and for off-street parking.		Mixed Use	NC-1	470	1671					1671		2012.0824		28-Jun-12		40-X	NC-1	28-Jun-12	Mixres	0	1	716					716		"1513-1517 Church St
(37.746568000000003, -122.4269532)"
0473015A	Marina	BP Filed	24-Apr-12	3		ADD (N) 3RD UNIT AT (E) UNOCCUPIED 1ST FL AREA & ADDING A REAR HORIZONAL ADDITION AT LIVING & DINING	Residential	RM-1	172	0								201204249016		24-Apr-12	40-X	RM-1	24-Apr-12	Resident	0	1	0							"1265 Bay St
(37.8038411, -122.4278949)"
1150007	Western Addition	BP Filed	15-Jun-12	3		COMPLY WITH  N.O.V.#201288233. Legalize 3rd. unit @ ground floor.	Residential	RH-3	297	0								201206152694		15-Jun-12	40-X	RH-3	15-Jun-12	Resident	0	1	0							"809 Lyon St
(37.778464200000002, -122.4435763)"
1659030	Richmond	BP APPROVED	06-Dec-12	2		CONSTRUCT 3-STORY REAR HORIZONTAL ADDITION FOR NEW LIVING SPACE W/ 2-LEVEL DECK. CONVERT (E) SINGLE 	Residential	RH-2	279	0								201204057595		05-Apr-12	40-X	RH-2	05-Apr-12	Resident	-1	1	0							"764 17th Av
(37.773671, -122.47534400000001)"
1686016	Richmond	CONSTRUCTION	20-Nov-12	2		ADD SECOND DWELLING UNIT TO 1ST FLOOR BY CONVERTING EXISTING WORKSHIP/STORAGE SPACE TO HABITABLE SPA	Residential	RH-2	265	0								201205049836		04-May-12	40-X	RH-2	04-May-12	Resident	-1	1	0							"875 43rd Av
(37.772179999999999, -122.503838)"
2700012	Central	BP Filed	25-Jun-12	2		HORIZONTAL & VERTICAL ADDITIONS. ADD 2ND UNIT. ADD ROOF DECK. RENOVATION AND STRUCTURAL UPGRADE.	Residential	RH-2	519	0								201206253387		25-Jun-12	40-X	RH-2	25-Jun-12	Resident	0	1	0							"4546 19th St
(37.759228, -122.440055)"
3705039	Downtown	CONSTRUCTION	12-Dec-12	116		ADDITION OF 8 GUEST ROOMS, CREATING A LIGHT WELL & RENOVATION OF GUEST RESTROOMS FOR ADA UPGRADES & 	Commercial	C-3-R	575	0								201206202986		20-Jun-12	90-X/160-S	C-3-R	20-Jun-12	Resident	-1	8	0							"55 05th St
(37.7834608, -122.4071854)"
4013007	Showpl/Potrero	BP Filed	22-May-12	2		REAR YARD ADDITION, DORMER ADDITION W/ BATH & CLOSET FLOOR 3. EXTERIOR STAIRCASE FROM FLOOR 3 TO REAR YARD. NEW KITCHEN, BATH, DECK FLOOR 2. (N) 2ND UNIT ON BOTTOM 2 FLOORS W/ KITCHEN, 2 BATHS, & 2 BEDROOMS.	Residential	RH-2	623	0								201205220992		22-May-12	40-X	RH-2	22-May-12	Resident	0	1	0							"526 Utah St
(37.762681999999998, -122.40656300000001)"
4264007	Showpl/Potrero	BP Filed	09-May-12	3		ADD 1 DWELLING UNIT. NEW REAR BUILDING WALL. VERTICAL & HORIZONTAL ADDITION. NO CHANGE TO FRON (EAST	Residential	RH-3	642	0								201205090138		09-May-12	40-X	RH-3	09-May-12	Resident	0	1	0							"1368 Utah St
(37.752171400000002, -122.40524310000001)"
5518023	Bernal Heights	CONSTRUCTION	15-Nov-12	2		CHANGE OF USE FROM COMMERCIAL TO RESIDENTIAL. INTERIOR REMODEL OF BATHROOM, ADDITION OF KITCHEN & ME	Residential	RH-2	721	0								201206203050		20-Jun-12	40-X	RH-2	20-Jun-12	Resident	-1	1	0							"28 Precita Av
(37.746471999999997, -122.41848899999999)"
6566027	Central	BP Filed	04-Jun-12	2		ADD NEW DWELLING UNIT AT GROUND FLOOR. INTERIOR REMODEL AT 2ND FLOOR REAR. ADD NEW BATH & RECONFIGUR	Residential	RH-2	475	0								201206041789		04-Jun-12	40-X	RH-2	04-Jun-12	Resident	0	1	0							"1411 Church St
(37.748255, -122.42679)"
7107023	Ingleside, Other	BP Filed	03-May-12	2		NEW RESIDENTIAL UNIT TO BE ADDED @  GROUND FLOOR PER PLAN WITH 3 BEDROOMS, 3 BATHROOMS. 1 KITCHEN & 	Residential	RH-2	426	0								201205039740		03-May-12	40-X	RH-2	03-May-12	Resident	0	1	0							"188 Broad St
(37.713298799999997, -122.4586214)"
0634006	Western Addition	PL Filed	19-Jun-12	4	Demo. of existing one story commercial bldg. and new construction of two separate two unit bldgs.		Neighborhood Commercial	FILLMORE	194	0							2012.0759		19-Jun-12		40-X	FILLMORE	19-Jun-12	Resident	0	4	0							"33 Perine Pl/2526 California Street
(37.788622400000001, -122.43609050000001)"
0811002	Downtown	PL Filed	13-Apr-12	163	The proposed project is the construction of a 14 story, 163 unit residential building with 52 subgrade parking spaces on an existing surface parking lot.		Commercial	C-3-G	552	523					523		2011.0702		13-Apr-12		120-X	C-3-G	13-Apr-12	Mixres	0	163	523					523		"101 Polk St
(37.777539900000001, -122.4179975)"
0340002	Downtown	PL Filed	14-Aug-12	110	Development of the two adjoining parking lots on either side of The Metropolis Hotel. The Metropolis will stay in place and continue as a hotel. The schematic design is to replace the existing surface parking lot with a residential development, including 		Commercial	C-3-G	558	2955					2955		2012.0678		14-Aug-12		120-X	C-3-G	14-Aug-12	Mixres	0	110	2955					2955		"19-25 Mason St &amp; 2-16 Turk St
(37.783439000000001, -122.4091452)"
0346003A	Downtown	PL Approved	27-Mar-12	85	The existing post office is scheduled for closure.  The proposed development would demolish the existing one-story building (built in 1960) and rebuild ground floor retail with residential units above.		Commercial	C-3-G	551	6314					6314		2012.0086		15-Aug-12		80-X	C-3-G	15-Aug-12	Mixres	-1	85	-1191					-1191		"101 Hyde St
(37.781804000000001, -122.415897)"
0351001	Downtown	PL Filed	18-Sep-12		Renovation of existing Hotel - interior renovation and top floor addition		Commercial	C-3-G	556	81015					12209	68806	2012.1123		18-Sep-12		120-X	C-3-G	18-Sep-12	Visitor	0	0	1440					3026	-1586	"1100 Market St
(37.780707399999997, -122.4125528)"
1088022	Western Addition	BP Filed	24-Jul-12	2	Convert a 2-story single family dwelling to a 2-unit dwelling with a 2 story vertical additions	3RD + 4TH FLOOR ADDITION. INTERIOR REMODEL. CONVERT SINGLE FAMILY HOME INTO TWO UNIT BUILDING. FIRE 	Residential	RH-3	235	0							2012.1209	201207245587	21-Sep-12	24-Jul-12	40-X	RH-3	24-Jul-12	Resident	0	1	0							"758 Spruce St
(37.780951000000002, -122.452699)"
1183010	Western Addition	PL Approved	08-Jan-13	1	Change of use, converting from church to single family dwelling with interior remodeling.		Residential	RM-1	299	0							2012.0871		10-Jul-12		40-X	RM-1	10-Jul-12	Resident	-1	1	-4085	-4085						"601 Broderick St
(37.775837000000003, -122.439975)"
1332049	Richmond	PL Filed	14-Aug-12	2	Building single family cottage in the required rear yard		Residential	RH-1	255	0							2012.1056		14-Aug-12		40-X	RH-1	14-Aug-12	Resident	0	1	0							"126 27th Av
(37.786938900000003, -122.487055)"
2778013	Central	BP Filed	26-Sep-12	2	Remodel single family home and change it to a 2 unit building with a 2 car garage and new top floor.	TO COMPLY WITH NOV# 200344379 & 200883155. VERTICAL EXTENSION TO (E) 3 STORY SINGLE FAMILY RESIDENCE	Residential	RM-1	510	0							2012.1131	201209260662	30-Aug-12	26-Sep-12	40-X	RM-1	30-Aug-12	Resident	0	1	0							"851 Corbett Av
(37.753174899999998, -122.4434096)"
3533001	Market Octavia	BP Filed	28-Aug-12	7	Variance request to reconstruct residential/commercial structure with an additional story in height requiring a variance to the rear yard and open space requirements	4TH FLOOR VERTICAL ADDITION OF 2 DWELLING UNITS.	Mixed Use	NCT-3	540	1670					1670		2012.1072	201208288439	17-Aug-12	28-Aug-12	50-X	NCT-3	17-Aug-12	Mixres	0	2	0					0		"101-109 Duboce Avenue
(37.769740499999997, -122.42267579999999)"
3651017	Central	BP Filed	26-Jul-12	4	New construction of a five-story mixed-use building.  Rear Yard Variance	ERECT 4-STORY TYPE V RESIDENTIAL OVER 1 COMMERCIAL BLDG.	Neighborhood Commercial	24TH-NOE	499	3030	3030						2012.0923	201207265893	19-Jul-12	26-Jul-12	40-X	24TH-NOE	19-Jul-12	Mixres	-1	4	3030			3030				"3820 24th Street
(37.751907000000003, -122.427988)"
3753079	East SoMa	PL Approved	03-Oct-12	87	Remove existing 2-story commercial building and construct a new 9-story mixed-use building.		Mixed Use	MUR	599	2226				0	2226		2011.0586		12-Jul-12		85-X	MUR	12-Jul-12	Mixres	-1	87	-10170				-12396	2226		"363 06th St
(37.777951399999999, -122.4046974)"
5972040	South Central, Other	BP Filed	19-Dec-12	1		ERECT 3 STORY SINGLE FAMILY DWELLING.		RH-1	735	0								201212196559		19-Dec-12			19-Dec-12	Resident	0	1	0							"262 University St
(37.726688500000002, -122.41416630000001)"
3774026	East SoMa	PL Filed	28-Aug-12		Demolition of existing building on lot and construction of a new six-story commercial office building containing approximately 189,000 square feet of office uses and an approximately 13,000 square foot sub-grade parking garage containing 16 off-street par		Mixed Use	MUO	648	171650	171650						2012.0799		28-Aug-12		65-X	MUO	28-Aug-12	MIPS	0		154300			154300				"270 Brannan St
(37.782934699999998, -122.3917304)"
4022022	Mission	BP Filed	20-Sep-12	4	6 story, 4 dwelling units, 68 foot height	ERECT 6 STORIES, TYPE 3, 4 RESIDENTIAL APTS BUILDING.	Mixed Use	UMU	615	0							2012.1312	201209200274	25-Nov-12	20-Sep-12	68-X	UMU	20-Sep-12	Resident	0	4	0							"685 Florida St
(37.760708000000001, -122.410678)"
5963042	South Central, Other	BP Filed	20-Jul-12	1		ERECT 3 STORIES, TYPE 5, SINGLE FAMILY DWELLING BUILDING.	Residential	RH-1	688	0								201207205437		20-Jul-12	40-X	RH-1	20-Jul-12	Resident	0	1	0							"35 La Grande Av
(37.724675300000001, -122.4237286)"
6472007	South Central, Other	BP Filed	29-Aug-12	1		ERECT 2-STORY TYPE V SINGLE FAMILY DWELLING BUILDING	Residential	RH-1	436	0								201208298537		29-Aug-12	40-X	RH-1	29-Aug-12	Resident	0	1	0							"850 Brunswick St
(37.708404000000002, -122.451291)"
6604011	Central	BP Filed	19-Sep-12	1		TO ERECT 3 STORIES WITH 1 BASEMENT, SINGLE FAMILY DWELLING.	Residential	RH-1	465	0								201209190133		19-Sep-12	40-X	RH-1	19-Sep-12	Resident	0	1	0							"538 28th St
(37.745089999999998, -122.434297)"
6684022	Central	BP Filed	10-Aug-12	1		ERECT 4 STORIES, TYPE 5, SINGLE FAMILY RESIDENCE BUILDING.	Residential	RH-1	489	0								201208107050		10-Aug-12	40-X	RH-1	10-Aug-12	Resident	0	1	0							"233 Laidley St
(37.738309000000001, -122.427785)"
6706053	Ingleside, Other	BP Filed	10-Sep-12	1		ERECT 2-STORY TYPE 5	Residential	RH-1	463	0								201209109358		10-Sep-12	40-X	RH-1	10-Sep-12	Resident	0	1	0							"1265 Bosworth St
(37.735694000000002, -122.442027)"
7332005	Ingleside, Other	BP Filed	11-Sep-12	11		Multiple Permits--201205220927, 201208278254, 201209119408, 201209119424, 201209119425, 201209119426, 201209119427, 201209119428, 201209119429	Residential	RM-1	412	0								201209119424		11-Sep-12			11-Sep-12	Resident	0	11	0							"700 Brotherhood Wy
(37.714610200000003, -122.4802656)"
0226007	Northeast	CONSTRUCTION	17-Aug-12	2		CHANGE OF USE FROM R3 (1 unit) to R3 (2 units).  (ref. 07/02/2012 email from planning dept.) Propose	Mixed Use	CCB	568	0								201207104487		10-Jul-12	50-N	CCB	10-Jul-12	Resident	-1	1	0							"605 Kearny St
(37.7937662, -122.4047942)"
0919007D	Marina	BP Filed	31-Aug-12	3		DIVIDE (E) LEGALLY CREATED DWELLING UNIT #2135 INTO (2) SEPARATE DWELLING UNITS, THEREBY CREATING A 	Residential	RH-3	166	0								201208318724		31-Aug-12	40-X	RH-3	31-Aug-12	Resident	0	1	0							"2135 Beach St
(37.803626600000001, -122.4442646)"
1449011	Richmond	BP Filed	29-Aug-12	2		CONVERT SINGLE FAMILY UNIT TO TWO FAMILY DWELLING UNITS FOOTPRINT OF BUILDING & ENVOLPE OF BUILDING 	Residential	RH-2	247	0								201208298493		29-Aug-12	40-X	RH-2	29-Aug-12	Resident	0	1	0							"351 17th Av
(37.781357999999997, -122.47603100000001)"
1464013B	Richmond	BP Filed	27-Jul-12	2		AT FIRST FLOOR. CONVERT (E) FLOOR SPACE TO A NEW DWELLING UNIT W/NEW KITCHEN, BATH, LIVING AND BEDRO	Residential	RH-2	253	0								201207275924		27-Jul-12	40-X	RH-2	27-Jul-12	Resident	0	1	0							"470 33rd Av
(37.780327, -122.49302400000001)"
2654031	Central	BP Filed	29-Aug-12	2		REVISION TO PA#2009/08/21/5271. CONVERT (E) 4 STORY S.F.R TO (2) 2 STORY RES'D, CONSTRUCT 1 HR. CORR	Residential	RH-2	520	0								201208298556		29-Aug-12	40-X	RH-2	29-Aug-12	Resident	0	1	0							"31 Uranus Tr
(37.761415, -122.445239)"
3576076	Mission	BP Filed	02-Aug-12	3		Add/legalize (n) 3rd. unit @ ground floor to existing tow units building.	Residential	RTO	613	0								201208026449		02-Aug-12	45-X	RTO-Mission	02-Aug-12	Resident	0	1	0							"80 Sycamore St
(37.7626074, -122.4211348)"
3730009	WSoMa	PL Filed	11-Sep-12	2	Demolish existing one and two story buildings to construct a new three-story building. On the 7th St (east) side: bar/nightclub on the first and mezzanine levels, restaurant on the second level, and arts activity on the third level. On the Langton St (wes		Industrial	SLR	603	9735	355				4690		2012.0356		11-Sep-12		50-X	SLR	11-Sep-12	Mixres	0	2	8582			-183		4075		"280 07th St
(37.776817000000001, -122.40852700000001)"
3777045	WSoMa	PL Filed	23-Aug-12		Proposes to demolish the existing two-story, 38,200 sq.ft. industrial building at the property and to construct a two-building office project at the site.  The buildings would be 160 feet in height, with 11 stories each.  The buildings would be completely		Industrial	SLI	760	700456	700456			0			2012.064		23-Aug-12		50-X	SLI	23-Aug-12	MIPS	0		662256			692568	-30312			"598 Brannan Street
(37.777338, -122.398847)"
4088030	Mission	BP Filed	30-Aug-12	2		CHANGE OF USE FOR SINGLE FAMILY TO 2 UNIT. DESIGNATION OF 2ND UNIT. NEW KITCHEN FOR UNIT. REF TO P/A	Residential	RH-2	630	0								201208308682		30-Aug-12	40-X	RH-2	30-Aug-12	Resident	0	1	0							"817 York St
(37.758591000000003, -122.408463)"
0604015	Marina	BP Filed	15-Aug-12	1		TO ERECT 4 STORIES, SINGLE FAMILY BUILDING.	Residential	RH-2	192	0								201208157477		15-Aug-12	40-X	RH-2	15-Aug-12	Resident	0	1	0							"2342 Washington St
(37.791915199999998, -122.43184170000001)"
0808039	Market Octavia	PL Filed	18-Jul-12	41	The proposed project would construct a new 4-story residential building with 41 residential units, 20 parking spaces, and 3,300 sf of retail space. The proposed building would be 17,399 sf with a full basement level.  The lobby and two retail store fronts		Neighborhood Commercial	HAYES NCT	536	3300					3300		2012.0081		18-Jul-12		40-X	HAYES NCT	18-Jul-12	Mixres	0	41	3300					3300		"450 Hayes Street
(37.7767853, -122.4238565)"
0829023	Western Addition	BP Filed	20-Sep-12	1		TO ERECT 4 STORIES WITH BASEMENT, SINGLE FAMILY DWELLING.	Residential	RH-3	532	0								201209200264		20-Sep-12	40-X	RH-3	20-Sep-12	Resident	0	1	0							"526 Hickory St
(37.774781900000001, -122.4282742)"
0869007	Market Octavia	BP Filed	07-Aug-12	4		TO ERECT 4 STORIES, 4 UNITS RESIDENTIAL BUILDING.	Residential	RTO	531	0								201208076803		07-Aug-12	40-X	RTO	07-Aug-12	Resident	0	4	0							"127 Buchanan St
(37.770983999999999, -122.42720799999999)"
0870003	Market Octavia	BP Filed	05-Sep-12	116		BLDG 1 - ERECT 4 STORY, 2 BASEMENT, 116 DWELLING UNITS, TYPE 1A, NEW BUILDING. (AKA: 120, 188, 200 B	Public	P	531	0							2004.0773	201209059005		05-Sep-12	50-X	P/NC-3	05-Sep-12	Resident	0	116	0							"100 Buchanan St
(37.770856899999998, -122.4267431)"
1152018	Western Addition	BP Filed	04-Oct-12	3		HORIZONTAL & VERTICAL ADDITION.  4 STORIES OVER BASEMENT. CONVERT SINGLE FAMILY DWELLING TO 3 FAMILY		RM-1	221	0								201210041365		04-Oct-12			04-Oct-12	Resident	0	2	0							"1880 Golden Gate Av
(37.778579000000001, -122.44152800000001)"
